P26392--Q9HU23--52.2--3.5E-97--rmlD PA5162--Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. --FUNCTION: Catalyzes the reduction of dTDP-6-deoxy-L-lyxo-4-hexulose to yield dTDP-L-rhamnose. {ECO:0000256|RuleBase:RU364082}.--CATALYTIC ACTIVITY: Reaction=dTDP-beta-L-rhamnose + NADP(+) = dTDP-4-dehydro-beta-L-rhamnose + H(+) + NADPH; Xref=Rhea:RHEA:21796, ChEBI:CHEBI:15378, ChEBI:CHEBI:57510, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:62830; EC=1.1.1.133; Evidence={ECO:0000256|RuleBase:RU364082};--   --
P26393--Q9HU22--75.2--2.8E-159--rmlA PA5163----FUNCTION: Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis. {ECO:0000256|RuleBase:RU003706}.--CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 1-phosphate + dTTP + H(+) = diphosphate + dTDP-alpha-D-glucose; Xref=Rhea:RHEA:15225, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:37568, ChEBI:CHEBI:57477, ChEBI:CHEBI:58601; EC=2.7.7.24; Evidence={ECO:0000256|RuleBase:RU003706};--   --1FXO;1FZW;1G0R;1G1L;1G23;1G2V;1G3L;3ZLK;3ZLL;4ARW;4ASJ;4ASY;4B2W;4B2X;4B3U;4B42;4B4B;4B4G;4B4M;4B5B;5FTS;5FTV;5FU0;5FU8;5FUH;5FYE;
P44490--Q9HZM5--54.2--7.4E-86--kdsB PA2979--Nucleotide-sugar biosynthesis; CMP-3-deoxy-D-manno-octulosonate biosynthesis; CMP-3-deoxy-D-manno-octulosonate from 3-deoxy-D-manno-octulosonate and CTP: step 1/1. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. --FUNCTION: Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria. {ECO:0000255|HAMAP-Rule:MF_00057}.--CATALYTIC ACTIVITY: Reaction=3-deoxy-alpha-D-manno-oct-2-ulosonate + CTP = CMP-3-deoxy-beta-D-manno-octulosonate + diphosphate; Xref=Rhea:RHEA:23448, ChEBI:CHEBI:33019, ChEBI:CHEBI:37563, ChEBI:CHEBI:85986, ChEBI:CHEBI:85987; EC=2.7.7.38; Evidence={ECO:0000255|HAMAP-Rule:MF_00057};--   --4XWI;
P0A6I8--Q9I6D1--61.6--9.9E-62--coaD PA0363--Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 4/5. --FUNCTION: Reversibly transfers an adenylyl group from ATP to 4'-phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate. {ECO:0000255|HAMAP-Rule:MF_00151}.--CATALYTIC ACTIVITY: Reaction=ATP + D-pantetheine 4'-phosphate + H(+) = 3'-dephospho-CoA + diphosphate; Xref=Rhea:RHEA:19801, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57328, ChEBI:CHEBI:61723; EC=2.7.7.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00151};--   --5X6F;
Q72K87--Q9I6D1--53.9--7.3E-50--coaD PA0363--Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 4/5. --FUNCTION: Reversibly transfers an adenylyl group from ATP to 4'-phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate. {ECO:0000255|HAMAP-Rule:MF_00151}.--CATALYTIC ACTIVITY: Reaction=ATP + D-pantetheine 4'-phosphate + H(+) = 3'-dephospho-CoA + diphosphate; Xref=Rhea:RHEA:19801, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57328, ChEBI:CHEBI:61723; EC=2.7.7.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00151};--   --5X6F;
P00634--P35483--73.9--0.0--phoA PA3296----FUNCTION: Has only phosphomonoesterase activity. {ECO:0000269|PubMed:8454193}.--CATALYTIC ACTIVITY: ; Reaction=a phosphate monoester + H2O = an alcohol + phosphate; Xref=Rhea:RHEA:15017, ChEBI:CHEBI:15377, ChEBI:CHEBI:30879, ChEBI:CHEBI:43474, ChEBI:CHEBI:67140; EC=3.1.3.1; Evidence={ECO:0000255|PROSITE-ProRule:PRU10042};--   --
P45314--Q9HVV9--40.1--4.6E-35--PA4458----FUNCTION: Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate. {ECO:0000256|PIRNR:PIRNR006118}.--CATALYTIC ACTIVITY: Reaction=3-deoxy-alpha-D-manno-2-octulosonate-8-phosphate + H2O = 3-deoxy-alpha-D-manno-oct-2-ulosonate + phosphate; Xref=Rhea:RHEA:11500, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:85985, ChEBI:CHEBI:85986; EC=3.1.3.45; Evidence={ECO:0000256|PIRNR:PIRNR006118};--   --
P28305--Q9HZN6--35.8--1.6E-36--pabC PA2964--------   --2Y4R;
P16608--P07344--41.1--2.7E-54--trpA PA0035--Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 5/5. --FUNCTION: The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3-phosphate. {ECO:0000255|HAMAP-Rule:MF_00131}.--CATALYTIC ACTIVITY: ; Reaction=(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = D-glyceraldehyde 3-phosphate + H2O + L-tryptophan; Xref=Rhea:RHEA:10532, ChEBI:CHEBI:15377, ChEBI:CHEBI:33384, ChEBI:CHEBI:57912, ChEBI:CHEBI:58866, ChEBI:CHEBI:59776; EC=4.2.1.20; Evidence={ECO:0000255|HAMAP-Rule:MF_00131};--   --
P0A2K1--P07345--56.6--3.7E-151--trpB PA0036--Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 5/5. --FUNCTION: The beta subunit is responsible for the synthesis of L-tryptophan from indole and L-serine. {ECO:0000250}.--CATALYTIC ACTIVITY: ; Reaction=(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + L-serine = D-glyceraldehyde 3-phosphate + H2O + L-tryptophan; Xref=Rhea:RHEA:10532, ChEBI:CHEBI:15377, ChEBI:CHEBI:33384, ChEBI:CHEBI:57912, ChEBI:CHEBI:58866, ChEBI:CHEBI:59776; EC=4.2.1.20;--   --
Q59643--Q59643--100.0--0.0--hemB PA5243--Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 1/4. --FUNCTION: Catalyzes an early step in the biosynthesis of tetrapyrroles. Binds two molecules of 5-aminolevulinate per subunit, each at a distinct site, and catalyzes their condensation to form porphobilinogen (By similarity). {ECO:0000250}.--CATALYTIC ACTIVITY: ; Reaction=2 5-aminolevulinate = H(+) + 2 H2O + porphobilinogen; Xref=Rhea:RHEA:24064, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:58126, ChEBI:CHEBI:356416; EC=4.2.1.24; Evidence={ECO:0000269|PubMed:16819823};--   --1B4K;1GZG;1W54;1W56;1W5M;1W5N;1W5O;1W5P;1W5Q;2C13;2C14;2C15;2C16;2C18;2C19;2WOQ;
P26391--Q9HU24--61.0--3.6E-154--rmlB PA5161------CATALYTIC ACTIVITY: Reaction=dTDP-alpha-D-glucose = dTDP-4-dehydro-6-deoxy-alpha-D-glucose + H2O; Xref=Rhea:RHEA:17221, ChEBI:CHEBI:15377, ChEBI:CHEBI:57477, ChEBI:CHEBI:57649; EC=4.2.1.46; Evidence={ECO:0000256|RuleBase:RU004473};--   --
P56122--Q9I344--43.2--1.1E-96--aroC PA1681--Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7. --FUNCTION: Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system. {ECO:0000255|HAMAP-Rule:MF_00300}.--CATALYTIC ACTIVITY: ; Reaction=5-O-(1-carboxyvinyl)-3-phosphoshikimate = chorismate + phosphate; Xref=Rhea:RHEA:21020, ChEBI:CHEBI:29748, ChEBI:CHEBI:43474, ChEBI:CHEBI:57701; EC=4.2.3.5; Evidence={ECO:0000255|HAMAP-Rule:MF_00300};--   --
P9WH11--Q9HU21--40.2--7.9E-37--rmlC PA5164--Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. --FUNCTION: Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4-hexulose. {ECO:0000269|PubMed:17046787}.--CATALYTIC ACTIVITY: Reaction=dTDP-4-dehydro-6-deoxy-alpha-D-glucose = dTDP-4-dehydro-beta-L-rhamnose; Xref=Rhea:RHEA:16969, ChEBI:CHEBI:57649, ChEBI:CHEBI:62830; EC=5.1.3.13; Evidence={ECO:0000305|PubMed:17046787};--   --1RTV;2IXH;2IXI;2IXJ;2IXK;
Q9HU21--Q9HU21--100.0--1.8E-134--rmlC PA5164--Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. --FUNCTION: Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4-hexulose. {ECO:0000269|PubMed:17046787}.--CATALYTIC ACTIVITY: Reaction=dTDP-4-dehydro-6-deoxy-alpha-D-glucose = dTDP-4-dehydro-beta-L-rhamnose; Xref=Rhea:RHEA:16969, ChEBI:CHEBI:57649, ChEBI:CHEBI:62830; EC=5.1.3.13; Evidence={ECO:0000305|PubMed:17046787};--   --1RTV;2IXH;2IXI;2IXJ;2IXK;
P26394--Q9HU21--65.7--3.9E-77--rmlC PA5164--Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. --FUNCTION: Catalyzes the epimerization of the C3' and C5'positions of dTDP-6-deoxy-D-xylo-4-hexulose, forming dTDP-6-deoxy-L-lyxo-4-hexulose. {ECO:0000269|PubMed:17046787}.--CATALYTIC ACTIVITY: Reaction=dTDP-4-dehydro-6-deoxy-alpha-D-glucose = dTDP-4-dehydro-beta-L-rhamnose; Xref=Rhea:RHEA:16969, ChEBI:CHEBI:57649, ChEBI:CHEBI:62830; EC=5.1.3.13; Evidence={ECO:0000305|PubMed:17046787};--   --1RTV;2IXH;2IXI;2IXJ;2IXK;
P67910--Q9HYQ8--53.8--2.4E-104--hldD rfaD PA3337--Nucleotide-sugar biosynthesis; ADP-L-glycero-beta-D-manno-heptose biosynthesis; ADP-L-glycero-beta-D-manno-heptose from D-glycero-beta-D-manno-heptose 7-phosphate: step 4/4. Bacterial outer membrane biogenesis; LPS core biosynthesis. --FUNCTION: Catalyzes the interconversion between ADP-D-glycero-beta-D-manno-heptose and ADP-L-glycero-beta-D-manno-heptose via an epimerization at carbon 6 of the heptose. {ECO:0000255|HAMAP-Rule:MF_01601}.--CATALYTIC ACTIVITY: Reaction=ADP-D-glycero-beta-D-manno-heptose = ADP-L-glycero-beta-D-manno-heptose; Xref=Rhea:RHEA:17577, ChEBI:CHEBI:59967, ChEBI:CHEBI:61506; EC=5.1.3.20; Evidence={ECO:0000255|HAMAP-Rule:MF_01601};--   --
P50921--Q9HV51--50.4--7.2E-76--tpiA PA4748--Carbohydrate biosynthesis; gluconeogenesis. Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate from glycerone phosphate: step 1/1. --FUNCTION: Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P). {ECO:0000255|HAMAP-Rule:MF_00147}.--CATALYTIC ACTIVITY: ; Reaction=D-glyceraldehyde 3-phosphate = dihydroxyacetone phosphate; Xref=Rhea:RHEA:18585, ChEBI:CHEBI:57642, ChEBI:CHEBI:59776; EC=5.3.1.1; Evidence={ECO:0000255|HAMAP-Rule:MF_00147};--   --
Q56320--Q59649--44.8--2.0E-39--trpF PA3113--Amino-acid biosynthesis; L-tryptophan biosynthesis; L-tryptophan from chorismate: step 3/5. ----CATALYTIC ACTIVITY: ; Reaction=N-(5-phospho-beta-D-ribosyl)anthranilate = 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate; Xref=Rhea:RHEA:21540, ChEBI:CHEBI:18277, ChEBI:CHEBI:58613; EC=5.3.1.24;--   --
Q9HVZ0--Q9HVZ0--100.0--2.1E-134--gmhA PA4425--Carbohydrate biosynthesis; D-glycero-D-manno-heptose 7-phosphate biosynthesis; D-glycero-alpha-D-manno-heptose 7-phosphate and D-glycero-beta-D-manno-heptose 7-phosphate from sedoheptulose 7-phosphate: step 1/1. Bacterial outer membrane biogenesis; LPS core biosynthesis. --FUNCTION: Catalyzes the isomerization of sedoheptulose 7-phosphate in D-glycero-D-manno-heptose 7-phosphate. {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=2 D-sedoheptulose 7-phosphate = D-glycero-alpha-D-manno-heptose 7-phosphate + D-glycero-beta-D-manno-heptose 7-phosphate; Xref=Rhea:RHEA:27489, ChEBI:CHEBI:57483, ChEBI:CHEBI:60203, ChEBI:CHEBI:60204; EC=5.3.1.28;--   --1X92;3BJZ;
P44725--Q9I6G1--57.7--1.2E-80--rpiA PA0330--Carbohydrate degradation; pentose phosphate pathway; D-ribose 5-phosphate from D-ribulose 5-phosphate (non-oxidative stage): step 1/1. --FUNCTION: Catalyzes the reversible conversion of ribose-5-phosphate to ribulose 5-phosphate. {ECO:0000255|HAMAP-Rule:MF_00170}.--CATALYTIC ACTIVITY: ; Reaction=aldehydo-D-ribose 5-phosphate = D-ribulose 5-phosphate; Xref=Rhea:RHEA:14657, ChEBI:CHEBI:58121, ChEBI:CHEBI:58273; EC=5.3.1.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00170};--   --4X84;
P0A7Z3--Q9I6G1--64.3--1.3E-89--rpiA PA0330--Carbohydrate degradation; pentose phosphate pathway; D-ribose 5-phosphate from D-ribulose 5-phosphate (non-oxidative stage): step 1/1. --FUNCTION: Catalyzes the reversible conversion of ribose-5-phosphate to ribulose 5-phosphate. {ECO:0000255|HAMAP-Rule:MF_00170}.--CATALYTIC ACTIVITY: ; Reaction=aldehydo-D-ribose 5-phosphate = D-ribulose 5-phosphate; Xref=Rhea:RHEA:14657, ChEBI:CHEBI:58121, ChEBI:CHEBI:58273; EC=5.3.1.6; Evidence={ECO:0000255|HAMAP-Rule:MF_00170};--   --4X84;
P9WIB9--Q9HU05--30.3--1.7E-12--aroQ PA5184--Metabolic intermediate biosynthesis; prephenate biosynthesis; prephenate from chorismate: step 1/1. --FUNCTION: Catalyzes the Claisen rearrangement of chorismate to prephenate. The joint presence of this enzyme together with cyclohexadienyl dehydratase and aromatic aminotransferase in the periplasmic compartment comprises a complete three-step chorismate to phenylalanine pathway and accounts for the so called hidden overflow pathway to phenylalanine in P.aeruginosa, in which two possible routes for it exists, namely either via phenylpyruvate or L-arogenate. {ECO:0000250|UniProtKB:P0A9J8, ECO:0000269|PubMed:11532214}.--CATALYTIC ACTIVITY: ; Reaction=chorismate = prephenate; Xref=Rhea:RHEA:13897, ChEBI:CHEBI:29748, ChEBI:CHEBI:29934; EC=5.4.99.5; Evidence={ECO:0000269|PubMed:11532214};--   --
P22188--Q59650--49.4--1.1E-132--murE PA4417--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000255|HAMAP-Rule:MF_00208}.--CATALYTIC ACTIVITY: ; Reaction=ATP + meso-2,6-diaminopimelate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-diaminopimelate; Xref=Rhea:RHEA:23676, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57791, ChEBI:CHEBI:83900, ChEBI:CHEBI:83905, ChEBI:CHEBI:456216; EC=6.3.2.13; Evidence={ECO:0000255|HAMAP-Rule:MF_00208};--   --
P9WIL5--Q9HV69--50.7--2.4E-69--panC PA4730--Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantothenate from (R)-pantoate and beta-alanine: step 1/1. --FUNCTION: Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate. {ECO:0000255|HAMAP-Rule:MF_00158}.--CATALYTIC ACTIVITY: Reaction=(R)-pantoate + ATP + beta-alanine = (R)-pantothenate + AMP + diphosphate + H(+); Xref=Rhea:RHEA:10912, ChEBI:CHEBI:15378, ChEBI:CHEBI:15980, ChEBI:CHEBI:29032, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57966, ChEBI:CHEBI:456215; EC=6.3.2.1; Evidence={ECO:0000255|HAMAP-Rule:MF_00158};--   --
Q5SHF5--Q9HV69--52.6--2.7E-78--panC PA4730--Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantothenate from (R)-pantoate and beta-alanine: step 1/1. --FUNCTION: Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate. {ECO:0000255|HAMAP-Rule:MF_00158}.--CATALYTIC ACTIVITY: Reaction=(R)-pantoate + ATP + beta-alanine = (R)-pantothenate + AMP + diphosphate + H(+); Xref=Rhea:RHEA:10912, ChEBI:CHEBI:15378, ChEBI:CHEBI:15980, ChEBI:CHEBI:29032, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57966, ChEBI:CHEBI:456215; EC=6.3.2.1; Evidence={ECO:0000255|HAMAP-Rule:MF_00158};--   --
P45066--Q9HW02--56.8--0.0--murC PA4411--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00046}.--CATALYTIC ACTIVITY: ; Reaction=ATP + L-alanine + UDP-N-acetyl-alpha-D-muramate = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine; Xref=Rhea:RHEA:23372, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57972, ChEBI:CHEBI:70757, ChEBI:CHEBI:83898, ChEBI:CHEBI:456216; EC=6.3.2.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00046};--   --5VVW;
P14900--Q9HVZ9--51.1--1.4E-124--murD PA4414--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA).--CATALYTIC ACTIVITY: ; Reaction=ATP + D-glutamate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate; Xref=Rhea:RHEA:16429, ChEBI:CHEBI:15378, ChEBI:CHEBI:29986, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:83898, ChEBI:CHEBI:83900, ChEBI:CHEBI:456216; EC=6.3.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_00639};--   --
P24182--P37798--71.2--0.0--accC fabG PA4848--Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1. --FUNCTION: This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA. {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=ATP + hydrogencarbonate + N(6)-biotinyl-L-lysyl-[protein] = ADP + H(+) + N(6)-carboxybiotinyl-L-lysyl-[protein] + phosphate; Xref=Rhea:RHEA:13501, Rhea:RHEA-COMP:10505, Rhea:RHEA-COMP:10506, ChEBI:CHEBI:15378, ChEBI:CHEBI:17544, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:83144, ChEBI:CHEBI:83145, ChEBI:CHEBI:456216; EC=6.3.4.14; CATALYTIC ACTIVITY: Reaction=acetyl-CoA + ATP + hydrogencarbonate = ADP + H(+) + malonyl-CoA + phosphate; Xref=Rhea:RHEA:11308, ChEBI:CHEBI:15378, ChEBI:CHEBI:17544, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57288, ChEBI:CHEBI:57384, ChEBI:CHEBI:456216; EC=6.4.1.2;--   --2C00;2VQD;
O15067--Q9HXN2--36.7--0.0--0.0--0.0--0.0--0.0--0.0--0.0
